Question	Option A	Option B	Option C	Option D	Correct Answer	Explanation
Which MITRE ATT&CK technique involves a threat actor using a specially crafted email attachment to exploit a vulnerability in the victim's system?	Spearphishing Attachment	Exploit Public-Facing Application	Remote Access Tools	Valid Accounts	A	Spearphishing Attachment is the technique where a threat actor uses a specially crafted email attachment to exploit a vulnerability in the victim's system, leading to a successful compromise.
Which MITRE ATT&CK technique involves adversaries manipulating time stamps to conceal their activities?	Process Injection (T1055)	Indicator Removal on Host (T1070)	Obfuscated Files or Information (T1027)	Deobfuscate/Decode Files or Information (T1140)	B	Adversaries can use Indicator Removal on Host (T1070) to manipulate time stamps and hide their actions, making it challenging for investigators to determine the actual timeline of events.
What MITRE ATT&CK technique involves an adversary manipulating network infrastructure to redirect traffic?	Protocol Impersonation (T1093)	Man-in-the-Middle (T1557)	DNS Redirection (T1568)	Connection Proxy (T1090)	C	DNS Redirection (T1568) is the correct answer as it specifically involves manipulating DNS resolution to redirect traffic, a common tactic used by adversaries to conceal their activities.
Which MITRE ATT&CK technique involves an adversary manipulating communication protocols in order to evade detection?	Protocol Tunneling (T1572)	Process Injection (T1055)	Standard Cryptographic Protocol (T1025)	Exploitation for Defense Evasion (T1211)	A	Protocol Tunneling (T1572) involves adversaries manipulating communication protocols to disguise their actions and evade detection, making it a technique used for defense evasion within the MITRE ATT&CK framework.
Which MITRE ATT&CK technique involves an adversary performing actions that allow them to gather information about a specific target without the target's knowledge, such as compromising a third-party resource utilized by the target?	Reconnaissance: Active Scanning (T1595)	Exploit Public-Facing Application (T1190)	Obtain Capabilities/Tools (T1588)	Valid Accounts (T1078)	A	Adversaries may leverage the Reconnaissance: Active Scanning technique (T1595) to perform activities without alerting the target, enabling them to gather information surreptitiously.
Which MITRE ATT&CK technique involves an adversary sending a text message containing a malicious link to a target mobile device?	(A) Spearphishing via Service	(B) Messaging Application	(C) Mobile Phishing	(D) Spearphishing via Text Message	D	Spearphishing via Text Message (T1192) is a technique where an adversary sends a text message containing a malicious link to the target mobile device, aiming to trick the user into clicking on the link to compromise the device.
Which MITRE ATT&CK technique involves an attacker exploiting a weakness in a third-party software to gain unauthorized access to a target system?	Process Injection (T1055)	Exploit Public-Facing Application (T1190)	Exploitation for Privilege Escalation (T1068)	Exploitation for Client Execution (T1203)	B	Exploit Public-Facing Application (T1190) relates to attackers exploiting vulnerabilities in publicly accessible applications to breach a system, highlighting the importance of securing such entry points in cyber threat intelligence.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary manipulating the execution flow of an application by inserting malicious code at the beginning or end of a function?	Process Injection: Dynamic-link Library Injection (T1055.001)	Lateral Tool Transfer: Remote Desktop Protocol (T1210.002)	Defense Evasion: Masquerading (T1036)	Code Injection: Command-Line Interface (T1059.003)	A	Process Injection involves an adversary injecting malicious code into the address space of another process to gain execution and evade defenses. The other options are not directly related to manipulating the execution flow of an
Which MITRE ATT&CK technique involves an adversary modifying software repositories to distribute malicious software updates?	Software Manipulation	Valid Accounts	Spearphishing Attachment	Trusted Relationship	Software Manipulation	"Adversaries may use the ""Software Manipulation"" technique (T1195) to tamper with software repositories and distribute malicious updates to target systems, compromising their integrity. This technique aims to exploit trust in the software supply chain."
Which MITRE ATT&CK technique involves an attacker manipulating data to cause a denial of service in an ICS environment?	Process Injection - Dynamic-link Library Injection	External Remote Services	Valid Accounts - Default Accounts	Access Token Manipulation	B	Process Injection - Dynamic-link Library Injection is not specific to ICS environments, External Remote Services do not involve data manipulation, and Valid Accounts - Default Accounts are not related to causing denial of service in an ICS environment. Access Token Manipulation is a technique used to manipulate access tokens.
Which MITRE ATT&CK technique involves an adversary manipulating the runtime environment to hide malicious activities, specifically on the Windows platform?	Process Injection - T1055	Process Discovery - T1057	Obfuscated Files or Information - T1027	Indicator Removal on Host - T1070	A	Process Injection is a technique used by adversaries to run malicious code in the address space of another process, commonly seen in Windows environments for stealth and persistence purposes.
Which MITRE ATT&CK technique involves an adversary using a malicious DLL to maintain persistence on a Windows system?	Process Injection - Dynamic-Link Library Injection (T1055)	Exfiltration Over Alternative Protocol (T1048)	Exploitation for Client Execution (T1203)	Remote File Copy (T1105)	A	Adversaries can use Dynamic-Link Library (DLL) injection to execute malicious code and maintain persistence on a Windows system, making option A the correct answer. Option B refers to exfiltration techniques, Option C involves execution, and Option D relates to remote file copy operations, which are not specifically
Which MITRE ATT&CK technique involves an attacker manipulating information sent between two parties without their knowledge by intercepting and altering the communication, often in real-time?	T1562 - Impair Defenses	 T1559 - Inter-Process Communication	 T1588 - Compromise Infrastructure	 T1587 - Forced Authentication	T1559 - Inter-Process Communication	The attacker is engaging in Inter-Process Communication (T1559) to intercept and alter communication between two parties without their knowledge. T1562 relates to impairing defenses, T1588 involves compromising infrastructure, and T1587 is associated with forced authentication.
Which MITRE ATT&CK technique involves the adversary using valid accounts to interact with the target network?	T1078 - Valid Accounts	T1059 - Command-Line Interface	T1003 - OS Credential Dumping	T1105 - Ingress Tool Transfer	A	T1078 - Valid Accounts is the technique involving the adversary using valid accounts to interact with the target network, making it a crucial tactic for lateral movement within the environment.
Which MITRE ATT&CK technique involves an adversary using malicious documents to deliver a payload to the victim's machine while avoiding detection by security tools?	Defense Evasion: Virtualization/Sandbox Evasion	Execution: Malicious File	Initial Access: Spearphishing Attachment	Execution: Command and Scripting	Initial Access: Spearphishing Attachment	This question tests the understanding of techniques used by adversaries to deliver payloads through malicious documents, a common tactic observed in cyber threat intelligence. By selecting the correct answer, the candidate demonstrates knowledge of the specific technique and its relevance in the context of cyber attacks.
Which MITRE ATT&CK technique involves an attacker using stolen credentials to access a victim's system without raising suspicion?	Brute Force (T1110)	Valid Accounts (T1078)	Credential Dumping (T1003)	Account Manipulation (T1098)	B	Valid Accounts (T1078) refers to the technique where attackers use legitimate credentials to access systems, making it harder to detect as it doesn't involve abnormal login attempts like Brute Force (T1110).
Which MITRE ATT&CK technique involves an adversary using software tools to map and scan targets for vulnerabilities?	1. Reconnaissance (T1592 - Network Scanning)	2. Exploit Public-Facing Application (T1190)	3. Data Staged (T1074)	4. Command and Control (T1043 - Commonly Used Port)	1. Reconnaissance (T1592 - Network Scanning)	This question tests the candidate's understanding of reconnaissance techniques within MITRE ATT&CK. Option A correctly identifies the technique T1592 - Network Scanning, which involves an adversary using software tools to map and
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary manipulating security settings in order to avoid detection while carrying out malicious activities?	Masquerading (T1036)	Obfuscated Files or Information (T1027)	Credential Dumping (T1003)	Defense Evasion (Tactic)	A	Adversaries may leverage Masquerading (T1036) to disguise their actions as legitimate in order to bypass security measures and blend into the environment, making detection more challenging.
Which MITRE ATT&CK technique involves an adversary using a software vulnerability to gain unauthorized access to a system?	Spearphishing Attachment (T1193)	Exploit Public-Facing Application (T1190)	Exploitation for Client Execution (T1203)	Exploit Public-Facing Application (T1190)	B	Exploit Public-Facing Application (T1190) is the correct answer as it specifically deals with adversaries exploiting vulnerabilities in public-facing applications to gain unauthorized access.
Which MITRE ATT&CK technique involves the use of a trusted relationship to compromise the target organization's network?	Reconnaissance over the internet (T1593 - Perform Eavesdropping)	Impersonation (T1560.001 - Spearphishing Attachment)	Valid Accounts (T1078 - Valid Accounts)	Trusted Relationship Exploitation (T1199 - Trusted Relationship)	D	Trusted Relationship Exploitation (T1199 - Trusted Relationship) involves using a trusted relationship, such as a partner organization or vendor, to gain access to the target organization's network.
Which MITRE ATT&CK technique involves an adversary utilizing a software vulnerability to access privileged information or execute code on a target system?	Network Service Scanning (T1046)	Exploit Public-Facing Application (T1190)	Exploitation for Privilege Escalation (T1068)	Credential Dumping (T1003)	C	Exploitation for Privilege Escalation (T1068) involves adversaries taking advantage of software vulnerabilities to gain higher privileges on a system, enabling access to sensitive information or the ability to execute malicious code.
In the context of MITRE ATT&CK (Enterprise), which technique involves an adversary manipulating files using legitimate software, such as PowerShell, to avoid detection?	Process Injection	Scripting	Obfuscated Files or Information	Deobfuscate/Decode Files or Information	C	"Adversaries often use legitimate software like PowerShell to manipulate files, making it harder for security tools to detect malicious activities. This technique is known as ""Obfuscated Files or Information"" in MITRE ATT&CK."
Which MITRE ATT&CK technique involves gaining access to a network by exploiting a vulnerability in a web server?	 A. T1190 - Exploit Public-Facing Application	 B. T1566.001 - Phishing: Spearphishing Attachment	 C. T1078 - Valid Accounts	 D. T1078.003 - Domain Accounts	A	T1190 - Exploit Public-Facing Application involves gaining access to a network by exploiting a vulnerability in a web server, aligning with the scenario described in the question. Options B, C, and D are not directly related to exploiting web server vulnerabilities.
Which MITRE ATT&CK technique involves an attacker using stolen credentials to log into a victim's email account and exfiltrate sensitive data?	Account Discovery (T1087)	Phishing (T1566.001)	Credential Dumping (T1003)	Exfiltration Over Command and Control Channel (T1041)	B	Phishing (T1566.001) involves the use of deceptive emails to trick individuals into providing their credentials, allowing attackers to access and exfiltrate data from email accounts.
Which MITRE ATT&CK technique involves an adversary injecting and executing code in a different process?	Spoofing	Lateral Movement	Process Injection	Exfiltration	C	Process Injection (T1055) is a technique where an adversary injects and executes code within a different process. This technique is commonly used to evade defenses and gain persistence in a compromised system.
"In the context of MITRE ATT&CK for Enterprise, which technique involves a threat actor creating a new account on a system using legitimate account management functions such as ""net user"" or ""useradd""?"	Credential Dumping (T1003 - Credential Dumping)	Valid Accounts (T1078 - Valid Accounts)	Account Manipulation (T1098 - Account Manipulation)	New Accounts (T1136 - Create Account)	D	T1136 - Create Account involves threat actors creating new accounts on systems using legitimate account management functions, enabling them to maintain access even if the original account is disabled or removed. This technique focuses on the creation
Which MITRE ATT&CK technique involves an adversary persuading an individual to reveal sensitive information by impersonating a trustworthy entity?	Spearphishing	Phishing with Trusted Service Provider	Phishing for Information	Pretexting	D	"Pretexting is a social engineering technique where an attacker creates a fabricated scenario to deceive individuals into providing sensitive information. This technique is captured under the MITRE ATT&CK framework as ""Pretexting (T1071)""."
Which MITRE ATT&CK technique involves an adversary sending emails with malicious attachments to deceive victims into executing the attachment?	(A) Phishing (T1566.001)	(B) Spearphishing Attachment (T1566.001)	(C) Spearphishing Link (T1566.002)	(D) Drive-by Compromise (T1189)	B	Spearphishing Attachment (T1566.001) is the specific technique involving malicious attachments in emails, aiming to deceive victims. Phishing (T1566.001) refers to more generic phishing attempts without specified attachment types. Spearphishing Link (T1566
Which MITRE ATT&CK Enterprise technique involves an adversary using stolen credentials?	Process Discovery (T1057) - Discovery	Valid Accounts (T1078) - Discovery	Credential Dumping (T1003) - Collection	Credential Access (T1078) - Collection	A	Credential Dumping (T1003) involves techniques that allow adversaries to obtain account login and password information. This action typically follows the initial compromise phase where adversaries have gained access to a system.
Which MITRE ATT&CK technique is most likely being described in the text?						
A. T1071 - Application Layer Protocol						
B. T1083 - File and Directory Discovery						
C. T1059.001 - Command and Scripting Interpreter: PowerShell						
D. T1003.001 - OS Credential Dumping	C	T1083 - File and Directory Discovery is commonly used to gather information about files and directories on a system, which aligns with the behavior described in the text. The other options are less relevant to the context provided.				
Which MITRE ATT&CK technique involves an adversary abusing Windows Management Instrumentation (WMI) for execution, persistence, and defense evasion?	Process Injection - Dynamic-link Library Injection	Accessibility Features	Process Discovery - System Network Connections Discovery	Execution through API	Process Injection - Dynamic-link Library Injection	"This question tests the candidate's knowledge of the MITRE ATT&CK technique ""Process Injection - Dynamic-link Library Injection"" (T1055). Adversaries abuse WMI to execute malicious code, establish persistence, and evade defenses. The other options are less relevant to this specific technique."
Which MITRE ATT&CK technique involves an adversary abusing system utilities to transfer, launch, or execute malicious payloads on a victim's machine?	Process Injection - T1055	Trusted Relationship - T1199	Exploitation for Client Execution - T1203	Execution through API - T1106	Process Injection - T1055	This question tests the candidate's knowledge of MITRE ATT&CK techniques related to executing malicious payloads using system utilities. The correct answer is Process Injection (T1055), which involves injecting code into various processes to evade detection and execute unauthorized commands.
Which MITRE ATT&CK technique involves the use of a software tool that enables the remote monitoring of keystrokes on a compromised system?	(A) Keylogger / T1125	Data Encoding / T1132	Remote Access Tools / T1219	Valid Accounts / T1078	A	Keyloggers are software tools used to capture keystrokes on a system, allowing threat actors to monitor user activity surreptitiously. This technique is represented by T1125 in the MITRE ATT&CK framework.
Which MITRE ATT&CK technique involves an attacker manipulating the timing and content of network traffic to deceive an adversary?	T1560 - Archive Collected Data	T1498 - Network Denial of Service	T1588 - Compromise Infrastructure	T1562 - Impair Defenses	T1588 - Compromise Infrastructure	The correct answer is T1588 - Compromise Infrastructure. This technique involves an adversary compromising the integrity of the network infrastructure to deceive the victim.
Within the context of MITRE ATT&CK Enterprise, which technique involves the use of trusted software applications to perform malicious activities without directly executing adversary-controlled code?	Process Hollowing (T1093)	Trusted Relationship (T1199)	Software Packing (T1045)	Process Injection (T1055)	B	The technique described involves taking advantage of trusted software applications to carry out malicious tasks without running adversary-controlled code directly. Process Hollowing (T1093) involves injecting code into a separate process; Trusted Relationship (T1199) focuses on exploiting trust relationships between entities; Software Packing (T1045) involves compressing/decompress
Which MITRE ATT&CK technique involves an adversary using a program to falsify the apparent source of data?	Process Injection (T1055) - Process Injection	Exfiltration Over Alternative Protocol (T1048) - Exfiltration Over Other Network Medium	Valid Accounts (T1078) - Valid Accounts	Spearphishing Attachment (T1193) - Phishing	Lateral Movement (T1070) - Lateral Movement	The correct answer is A.
Which MITRE ATT&CK technique involves an adversary sending emails with malicious attachments to targeted individuals to gain access to the victim's system?	Spearphishing Attachment	Spearphishing Link	Drive-by Compromise	Man-in-the-Middle	A	Spearphishing Attachment is a technique where adversaries send emails with malicious attachments to trick victims into executing them, leading to potential compromise of the system.
Which MITRE ATT&CK technique involves an adversary compromising the integrity of data by making unauthorized modifications to data through techniques such as data poisoning or data corruption?	Data Manipulation (T1565.001)	Exploit Public-Facing Application (T1190)	Component Firmware (T801)	Application Layer Protocol (T1071)	A	Data Manipulation (T1565.001) refers to the technique where an adversary compromises the integrity of data by making unauthorized modifications, which can involve data poisoning or data corruption. The other options do not specifically pertain to compromising data integrity through modifications.
Which MITRE ATT&CK Enterprise technique involves an adversary sending emails with malicious attachments to targeted individuals within an organization?	Spearphishing Attachment	Phishing for Information	Spearphishing Link	Spearphishing Service	D	Spearphishing Attachment is a technique where an adversary sends emails with malicious attachments to targeted individuals within an organization, aiming to gain initial access. The other options either do not specifically involve sending emails with attachments or do not target individuals within an organization.
Which MITRE ATT&CK technique involves an adversary persuading a target to access a malicious URL or attachment in an attempt to exploit vulnerabilities in the target's system?	Scripting (T1064 - Scripting)	Phishing (T1566.001 - Spearphishing Attachment)	Exploitation for Client Execution (T1203 - Exploitation for Client Execution)	Drive-by Compromise (T1189 - Drive-by Compromise)	B	Spearphishing Attachment (T1566.001) is a technique where the adversary sends a malicious attachment to the target in order to exploit vulnerabilities and gain access to the system.
Which MITRE ATT&CK technique involves an attacker creating virtualized instances of a victim’s machine to execute malicious code?	Process Injection (T1055)	VMware Snapshot (T1480)	Map Network Drive (T1135)	Exploitation for Defense Evasion (T1211)	B	VMware Snapshot (T1480) allows an attacker to create virtualized instances of a victim’s machine to execute malicious code, a technique often used for defense evasion and persistence.
Which MITRE ATT&CK technique involves an adversary compromising a system to manipulate its components to hide their activities?	Scheduled Task (T1053)	Fallback Channels (T1008)	Trusted Relationship (T1199)	Component Firmware (T1194)	B	Adversaries can compromise a system to manipulate its components to hide their activities, a technique that aligns with the description of Fallback Channels (T1008).
Which MITRE ATT&CK technique involves an attacker using valid accounts on the target network to move laterally and access sensitive information?	T1078 - Valid Accounts	T1003 - Credential Dumping	T1110 - Brute Force	T1027 - Obfuscated Files or Information	A	T1078 - Valid Accounts refers to the technique where an attacker uses legitimate credentials to access resources within the network, aiding in lateral movement and data exfiltration. The other options relate to different techniques such as credential dumping, brute force attacks, and obfuscating files or information, which are not specifically focused on leveraging valid accounts for lateral movement.
Which MITRE ATT&CK technique involves an adversary sending spearphishing emails with malicious attachments containing embedded macros that execute code when opened by the victim?	T1193 - Spearphishing Attachment	T1192 - Spearphishing Link	T1078.003 - Valid Accounts: External Remote Services	T1566.001 - Spearphishing Attachment	A	T1566.001 - Spearphishing Attachment
Which technique from the MITRE ATT&CK framework could be leveraged by threat actors to establish communication over commonly used ports and protocols to bypass network defenses?	Process Injection (T1055)	Protocol Tunneling (T1572)	Obfuscated Files or Information (T1027)	Command and Control (T1000)	B	Protocol Tunneling (T1572) is a technique used by threat actors to establish communication over commonly used ports and protocols to bypass network defenses.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary collecting information on the target using sources such as publicly available information and social media?	Reconnaissance: Active Scanning (T1595)	Reconnaissance: Active Directory Domain Trust Discovery (T1482)	Reconnaissance: Remote System Discovery (T1018)	Reconnaissance: Search Closed Sources (T1213)	D	Adversaries can gather intelligence through various means, including actively scanning networks (T1595), exploring Active Directory trusts (T1482), discovering remote systems (T1018), but searching closed sources (T
Which MITRE ATT&CK technique involves an adversary disguising their malicious activities as normal network traffic to avoid detection?	Process Injection: Dynamic-link Library Injection (T1055.002)	DATA FROM INFORMATION REPOSITORIES: Data Staged (T1027)	Indicator Blocking: Indicator Removal on Host (T1070.004)	Exfiltration Over Alternative Protocol: Exfiltration Over Bluetooth (T1029)	Indicator Blocking: Indicator Removal on Host (T1070.004)	The technique described involves an adversary removing indicators on the host to avoid detection, a strategy commonly used to cover their tracks and hinder incident response efforts.
Which MITRE ATT&CK technique involves an adversary sending a large volume of HTTP traffic to a target server to exhaust server resources and potentially deny service to legitimate users?	Reconnaissance: External Remote Services (T1133 - External Remote Services)	Exploitation for Credential Access (T1212 - Exploitation for Credential Access)	Network Denial of Service (T1498 - Network Denial of Service)	Valid Accounts (T1078 - Valid Accounts)	C	Adversaries can utilize the Network Denial of Service technique (T1498 - Network Denial of Service) to overwhelm a target server with HTTP traffic,
Which MITRE ATT&CK technique involves an adversary using a specific protocol to tunnel traffic for command and control communication?	Tunneling Protocol (T1021)	Domain Fronting (T1102)	Remote Desktop Protocol (T1076)	Distributed Component Object Model (T1021.001)	A	Tunneling Protocol (T1021) involves adversaries using a specific protocol to encapsulate the C2 traffic. Domain Fronting (T1102) is a technique to avoid censorship by utilizing domains that serve multiple functions. Remote Desktop Protocol (T1076) involves adversaries using RDP for C2. Distributed Component Object Model (T
Which MITRE ATT&CK technique involves an adversary exploiting trust in Windows services to execute malicious payloads on a victim's machine?	Brute Force (T1110)	Service Execution (T1569)	Process Injection (T1055)	Valid Accounts (T1078)	B	Service Execution (T1569) is the correct answer as it specifically relates to adversaries executing malicious payloads via trusted Windows services, a common technique employed to avoid detection.
Which MITRE ATT&CK technique involves an adversary persuading a user to run malicious software on their system, exploiting the user's trust in software vendors?	Spearphishing Attachment (T1193)	Software Manipulation (T1505)	Trusted Relationship (T1199)	Valid Accounts (T1078)	C	Adversaries may exploit a trusted relationship between a user and software vendor to trick the user into running malicious software, a tactic covered by the Trusted Relationship technique (T1199) in MITRE ATT&CK. Spearphishing Attachment (T1193) involves sending malicious attachments via email, Software Manipulation
Which MITRE ATT&CK technique is commonly associated with the use of a tool that can disguise itself as a legitimate application or process?	Process Injection (T1055)	Defense Evasion	Exfiltration	Obfuscated Files or Information	A	Process Injection (T1055) involves injecting code into a process, often used by malware to evade detection, which can include disguising itself as a legitimate process or application.
Which MITRE ATT&CK technique involves the use of a malicious application that spies on user activity on a mobile device?	Remote Access Tools (T1476)	Accessibility Features (T1561)	Spyware (T1428)	Keylogging (T1125)	C	Spyware (T1428) is a technique involving the use of a malicious application that spies on user activity on a mobile device.
Which MITRE ATT&CK technique involves an adversary sending unsolicited emails to deceive individuals into divulging sensitive information?	Initial Access - Spearphishing Attachment	Execution - Command and Scripting Interpreter	Discovery - Remote System Discovery	Lateral Movement - Remote Desktop Protocol (RDP)	Spearphishing Attachment	Adversaries commonly use Spearphishing Attachment (T1193) to trick individuals into revealing sensitive information through deceptive emails.
Which MITRE ATT&CK technique involves the malicious use of Microsoft's PowerShell to download and execute additional payloads?	Spearphishing Attachment	Scripting	Remote File Copy	Valid Accounts	B	Scripting (T1059) involves the use of scripts, such as PowerShell, to download and execute payloads. This technique is commonly used by threat actors to maintain persistence and evade detection.
Which MITRE ATT&CK technique involves the adversary sending spam emails with malicious attachments to target victims, leading to the execution of malware when opened on an Enterprise platform?	Phishing: Spearphishing Attachment	Scheduled Task	Command-Line Interface	Exploit Public-Facing Application	A	Phishing: Spearphishing Attachment (T1193) is a technique where the adversary sends emails with malicious attachments to target victims, aiming to execute malware upon opening. This method is commonly used in cyber threat campaigns targeting enterprises.
Which MITRE ATT&CK technique involves an adversary sending multiple requests to a target to consume available resources, potentially leading to a denial of service?	Reconnaissance (T1592 - Active Scanning)	Network Denial of Service (T1498 - Network Denial of Service)	Resource Hijacking (T1496 - Resource Hijacking)	Execution through API (T1101 - Multi-Stage Channels)	B	T1498 - Network Denial of Service involves an adversary sending multiple requests to a target to consume available resources, potentially leading to a denial of service. This technique aims to impact system availability by saturating the target's resources
Which MITRE ATT&CK technique involves an adversary creating, deleting, or modifying system services to evade detection?	Process Injection - Svcctl	New Service	Modify Registry	Valid Accounts	Option A	Process Injection - Svcctl (T1050) involves an adversary creating, deleting, or modifying system services to evade detection, making it a common technique used by threat actors.
In the context of MITRE ATT&CK techniques, what is the primary difference between T1566.001 - Spearphishing Attachment and T1566.002 - Spearphishing Link?	T1566.001 - Sending malicious documents via email attachments	T1566.002 - Sending malicious links via email	T1566.001 - Targeting specific individuals with tailored email attachments	T1566.002 - Directing users to click on malicious URLs in emails	B	T1566.001 involves sending malicious documents via email attachments to specific individuals, while T1566.002 involves directing users to click on malicious URLs in emails, making the distinction between attachment
Which MITRE ATT&CK technique involves an adversary manipulating the trust relationship between a service and a client to their advantage?	Process Injection	Valid Accounts	Credential Dumping	Exploitation for Credential Access	Exploitation for Credential Access	"This question tests the understanding of the ""Exploitation for Credential Access"" technique (T1210) where an adversary manipulates the trust relationship between a service and a client to obtain unauthorized access."
Which MITRE ATT&CK technique involves an adversary using a proxy tool to redirect network traffic for exfiltration purposes in an Enterprise environment?	Process Injection - Dynamic-link Library Injection	Exfiltration Over Physical Medium	Proxy	Valid Accounts	B	Proxy is the correct answer as it refers to the MITRE ATT&CK technique T1090 - Proxy. This technique involves the adversary using a proxy tool to redirect network traffic for exfiltration purposes within an Enterprise environment. The other options are not directly related to this specific technique.
Which MITRE ATT&CK technique involves an adversary exploiting trust in a service or misusing a legitimate service to compromise data on the Enterprise platform?	Spearphishing Attachment (T1193)	Exploit Public-Facing Application (T1190)	Service Stop (T1489)	Valid Accounts (T1078)	D	Adversaries may exploit trust in services or misuse legitimate services as a means of compromising data, illustrating the Valid Accounts (T1078) technique on the Enterprise platform.
Which MITRE ATT&CK technique involves an adversary sending a text message containing a malicious link to a target on a mobile platform, aiming to exploit human behavior for successful execution?	Spearphishing Link	Phishing for Information	Spearphishing Attachment	Malicious SMS Link	Malicious SMS Link	This question tests the candidate's knowledge of the MITRE ATT&CK technique T1475 - Deliver Malicious App via Authorized App Store, which involves adversaries sending a text message containing a malicious link to exploit human behavior on a mobile platform. The other options are designed to distract and test the candidate's understanding of different techniques.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary exploiting a software vulnerability to gain control over a system, potentially leading to unauthorized access?	Exploit Public-Facing Application (T1190)	Exploit Vulnerability (T1200)	Exploitation for Client Execution (T1203)	Command and Scripting Interpreter (T1059)	B	Exploit Vulnerability (T1200) entails adversaries taking advantage of software vulnerabilities to compromise systems, emphasizing the importance of patch management and vulnerability assessments.
Which MITRE ATT&CK technique involves an adversary using malicious software that encrypts data on the system and demands payment for decryption?	Ransomware (T1486)	Credential Dumping (T1003)	Spearphishing Attachment (T1193)	Data Encrypted for Impact (T1486)	D	Data Encrypted for Impact (T1486)
Which MITRE ATT&CK technique involves an adversary using a trusted relationship to gain access to an organization’s resources for malicious purposes?	Exploit Public-Facing Application (T1190)	Valid Accounts (T1078)	Spearphishing Attachment (T1193)	Steal Application Access Token (T1528)	B	Adversaries may use Valid Accounts (T1078) to leverage trusted relationships within an organization for unauthorized access, making it a crucial technique to monitor and detect in cyber threat intelligence analysis.
Which MITRE ATT&CK technique involves an adversary using existing software, allowed by the platform, to maintain persistence and evade detection, such as through Scheduled Task on Windows or Launch Daemon on macOS?	Process Injection	Valid Accounts	Valid Accounts	Boot or Logon Autostart Execution	Boot or Logon Autostart Execution	"The MITRE ATT&CK technique referenced in the question description is ""Boot or Logon Autostart Execution,"" which involves an adversary using legitimate functions of the operating system to establish persistence and hide their activities. This technique is commonly seen in various threat actor tactics to evade detection and maintain access to the compromised system."
Which MITRE ATT&CK technique involves an adversary persuading a victim to open a file, email, or link with malicious content?	Spear Phishing Attachment	Phishing for Information	Office Application Startup	Phishing for Credentials	A	Spear phishing involves targeted attempts to trick victims into opening malicious files, emails, or links, often leading to further compromise.
Which MITRE ATT&CK technique involves an adversary disguising malicious activities by making the actions look legitimate, using tools typically used by administrators, while also evading detection?	Security Support Provider (T1550) - Steal Application Access Token	Execution through Module Load (T1129) - Execution through API	Process Injection (T1055) - Dynamic-Link Library Injection	Trusted Relationship (T1199) - Exploitation of Trust	A	Adversaries may use Security Support Provider (T1550) - Steal Application Access Token to disguise their malicious activities by leveraging legitimate administrative tools, thus making detection more challenging.
Which MITRE ATT&CK technique ID and name involve the use of a software tool that is designed to gather information from websites about organizations and individuals using various techniques to scrape web content?	A. T1592 - System Information Discovery	B. T1587 - Man in the Browser	C. T1583 - Web Shell	D. T1596 - Web Service		D
Which MITRE ATT&CK technique involves an adversary collecting information about the target organization's employees, including their roles and responsibilities?	T1592 - Gather Victim Identity	 T1591 - Gather Victim Information	T1590 - Gather Victim Location	T1589 - Gather Victim Network Information	B	T1591 - Gather Victim Information corresponds to the action of collecting information about the target organization's employees, roles, and responsibilities. This technique is crucial for understanding the organization's structure and potential targets.
In the context of MITRE ATT&CK Enterprise, which technique involves an adversary creating a new service that is configured to execute a malicious payload when started?	Spearphishing Attachment	Service Execution	Exploitation for Privilege Escalation	Remote File Copy	B	Service execution (T1106) involves an adversary creating a new service that is configured to execute a malicious payload when started.
Which MITRE ATT&CK technique involves an adversary using a known malware sample to evade detection and achieve persistence on an Enterprise network?	Execution through Module Load	Process Injection	Obfuscated Files or Information	Valid Accounts	C	Obfuscated Files or Information (T1027) involves an adversary using software packing or encryption to hide their tools, scripts, or other files to evade detection. This technique relates to persistence by making analysis and detection more challenging for defenders.
Which MITRE ATT&CK technique involves an adversary creating, deleting, or modifying system services to evade detection?	T1036 - Masquerading	T1053 - Scheduled Task	T1543.003 - Create or Modify System Process	T1562.001 - Impair Defenses Mechanism	C	T1543.003 - Create or Modify System Process is the specific technique where an adversary creates or modifies system processes to blend in with normal system activity, making detection more challenging. Masquerading (T1036), Scheduled Task (T1053), and Impair Defenses Mechanism (T1562.001) are related techniques but do not directly
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary manipulating system processes to schedule tasks using a technique ID of T1053 - Scheduled Task?	T1053 - Scheduled Task Execution	T1053 - Windows Management Instrumentation	T1053 - System Services Discovery	T1053 - Process Injection	A	T1053 - Scheduled Task Execution corresponds to the technique where an adversary manipulates system processes to schedule tasks.
Which MITRE ATT&CK technique involves an adversary using valid accounts to log in to a system to maintain persistence without relying on malware?	Replication Through Removable Media (T1091)	Valid Accounts (T1078)	Account Manipulation (T1098)	Valid Accounts (T1078)	Option B	Adversaries may use valid accounts (T1078) to maintain persistence without using malware, leveraging legitimate credentials to avoid detection and blend into normal network activity.
